iter	Passed	Remaining
0	60	60484
1	64	32058
2	67	22382
3	70	17515
4	73	14670
5	78	13033
6	83	11864
7	86	10780
8	91	10111
9	96	9505
10	99	8949
11	103	8498
12	106	8090
13	111	7833
14	114	7504
15	118	7305
16	122	7073
17	125	6867
18	129	6665
19	131	6465
20	136	6358
21	141	6271
22	145	6183
23	148	6037
24	151	5904
25	153	5767
26	157	5670
27	161	5607
28	164	5506
29	167	5417
30	171	5352
31	174	5290
32	178	5234
33	182	5190
34	186	5128
35	189	5072
36	192	5021
37	196	4965
38	200	4943
39	203	4883
40	207	4861
41	212	4843
42	215	4786
43	218	4745
44	222	4719
45	227	4708
46	232	4711
47	239	4743
48	242	4714
49	246	4692
50	251	4675
51	254	4633
52	258	4618
53	262	4591
54	266	4580
55	270	4562
56	275	4549
57	278	4530
58	283	4523
59	286	4492
60	290	4473
61	294	4450
62	298	4444
63	302	4430
64	306	4415
65	312	4418
66	316	4403
67	320	4392
68	324	4384
69	329	4375
70	333	4367
71	336	4337
72	340	4317
73	343	4298
74	346	4272
75	350	4263
76	354	4244
77	358	4236
78	361	4212
79	365	4204
80	368	4186
81	372	4174
82	376	4160
83	380	4151
84	384	4137
85	389	4140
86	393	4130
87	397	4122
88	403	4130
89	407	4119
90	412	4115
91	416	4107
92	420	4099
93	423	4083
94	427	4074
95	431	4065
96	435	4055
97	439	4045
98	443	4038
99	447	4031
100	451	4020
101	455	4009
102	459	4003
103	465	4007
104	468	3996
105	473	3991
106	477	3983
107	481	3977
108	484	3964
109	489	3958
110	493	3952
111	497	3943
112	500	3929
113	505	3927
114	507	3908
115	511	3901
116	515	3891
117	519	3886
118	523	3874
119	526	3864
120	531	3857
121	534	3845
122	538	3840
123	543	3840
124	547	3830
125	551	3824
126	556	3824
127	560	3819
128	564	3809
129	569	3808
130	573	3804
131	577	3796
132	580	3783
133	584	3776
134	588	3773
135	593	3771
136	599	3776
137	603	3770
138	607	3765
139	612	3760
140	615	3750
141	619	3746
142	624	3741
143	627	3732
144	631	3722
145	634	3711
146	639	3709
147	644	3711
148	648	3705
149	653	3702
150	657	3698
151	662	3693
152	664	3681
153	668	3674
154	673	3669
155	676	3662
156	681	3657
157	684	3649
158	688	3642
159	691	3631
160	694	3621
161	698	3613
162	703	3612
163	707	3608
164	711	3600
165	715	3594
166	719	3587
167	722	3576
168	726	3570
169	730	3568
170	735	3565
171	739	3558
172	743	3553
173	747	3549
174	751	3544
175	756	3540
176	761	3538
177	764	3532
178	769	3527
179	772	3518
180	777	3517
181	781	3511
182	785	3507
183	788	3497
184	792	3491
185	796	3486
186	801	3483
187	804	3475
188	808	3470
189	812	3464
190	816	3456
191	820	3451
192	823	3443
193	827	3438
194	831	3432
195	835	3427
196	839	3420
197	843	3414
198	847	3410
199	851	3406
200	855	3400
201	858	3391
202	861	3383
203	866	3380
204	869	3372
205	873	3366
206	876	3358
207	880	3351
208	884	3347
209	889	3345
210	893	3340
211	897	3335
212	900	3328
213	904	3321
214	907	3314
215	911	3307
216	915	3303
217	919	3297
218	923	3292
219	927	3287
220	930	3278
221	934	3273
222	937	3265
223	941	3260
224	944	3252
225	947	3246
226	952	3243
227	955	3236
228	959	3231
229	962	3223
230	965	3215
231	969	3208
232	972	3202
233	977	3198
234	981	3195
235	985	3191
236	989	3185
237	992	3178
238	996	3174
239	1001	3171
240	1005	3166
241	1008	3159
242	1012	3153
243	1015	3147
244	1018	3139
245	1023	3136
246	1026	3129
247	1030	3126
248	1033	3118
249	1038	3115
250	1041	3109
251	1045	3102
252	1049	3098
253	1053	3094
254	1057	3089
255	1062	3087
256	1066	3084
257	1071	3082
258	1076	3078
259	1079	3071
260	1083	3067
261	1086	3060
262	1090	3056
263	1093	3049
264	1097	3043
265	1100	3037
266	1104	3032
267	1107	3026
268	1111	3019
269	1115	3015
270	1118	3009
271	1122	3005
272	1126	3000
273	1131	2998
274	1135	2993
275	1139	2987
276	1142	2982
277	1146	2976
278	1150	2973
